Region,Volume,XYZ_1,XYZ_2,XYZ_3,maxZ,modal_label_descriptions,Perc_covered_by_label,Atlas_regions_covered,region_index
Ctx_MT_L,1176,-49,-75,7,-4.71795654296875,Cortex_Visual_Central,49,1,35
Ctx_V1_R,10400,3,-78,19,-5.39234590530396,Cortex_Visual_Peripheral,24,1,36
Ctx_TPOJ1_R,3872,57,-45,10,-4.35356092453003,Cortex_Temporal_Parietal,27,2,37
Ctx_p24_R,1224,-1,43,13,-3.71440124511719,Cortex_Ventral_AttentionB,29,0,38
Ctx_10d_R,2144,3,64,13,-5.26748847961426,Cortex_Default_ModeA,49,1,39
Ctx_10d_L,1104,-22,67,10,-3.97792625427246,Cortex_Default_ModeA,43,0,40
Ctx_TPOJ3_L,1176,-52,-75,19,-3.91735577583313,Cortex_Dorsal_AttentionA,24,1,41
Ctx_PF_R,1000,51,-24,25,-3.87562584877014,Cortex_Ventral_AttentionA,28,0,42
Ctx_d32_L,1104,-10,37,25,-4.21204996109009,Cortex_Default_ModeA,55,1,43
Ctx_9m_R,1416,-1,49,31,3.76034593582153,Cortex_Default_ModeA,40,0,44
Ctx_IP1_R,1272,30,-72,37,4.17223310470581,Cortex_Dorsal_AttentionA,36,0,45
Ctx_7m_R,2704,3,-60,40,-3.97527980804443,Cortex_Default_ModeA,35,1,46
Ctx_31pv_L,1280,-10,-45,34,3.53828859329224,Cortex_Default_ModeA,51,2,47
Ctx_POS2_R,2096,15,-72,37,5.29355335235596,Cortex_Fronto_ParietalC,40,0,48
Ctx_23d_R,2264,-1,-24,40,4.05902862548828,Cortex_Default_ModeA,42,2,49
Ctx_9p_L,1496,-25,40,40,-4.25427722930908,Cortex_Default_ModeB,39,0,50
Ctx_V6A_L,2040,-25,-84,46,4.94277858734131,Cortex_Visual_Peripheral,24,1,51
Ctx_PFm_L,4712,-49,-48,52,-5.51965427398682,Cortex_Fronto_ParietalB,23,2,52
Ctx_V6A_R,2352,21,-75,55,4.14309358596802,Cortex_Visual_Peripheral,19,1,53
Ctx_PFm_R,3080,51,-39,49,-4.77301979064941,Cortex_Fronto_ParietalB,28,0,54
Ctx_1_L,2664,-52,-30,49,-4.3662109375,Cortex_SomatomotorA,30,0,55
Ctx_FEF_R,1008,48,-9,49,4.11791372299194,Cortex_Dorsal_AttentionB,42,0,56
Ctx_7PL_L,3648,-13,-72,58,4.44273900985718,Cortex_Dorsal_AttentionA,28,1,57
Ctx_8Av_R,2784,27,28,55,-5.0023250579834,Cortex_Fronto_ParietalB,32,0,58
Ctx_LIPv_R,1536,27,-57,58,4.32808017730713,Cortex_Dorsal_AttentionA,44,1,59
Ctx_4_R,1864,-1,-27,58,-4.17153358459473,Cortex_SomatomotorA,29,0,60
Ctx_SCEF_R,2648,3,13,58,4.73656845092773,Cortex_Ventral_AttentionA,40,1,61
Ctx_3b_L,1016,-37,-27,58,3.8363778591156,Cortex_SomatomotorA,50,0,62
Ctx_1_L,1816,-19,-30,76,-4.90490484237671,Cortex_SomatomotorA,25,0,63
